Suma,Media,Mediana,Moda,Max,Min
13601.1,3.74,3.7,3.7,7.4,2.3
7.8999999999999995,3.95,3.95,3.8,4.1,3.8
463.2,3.38,3.6,3.7,5.1,1.0
59.1,3.94,4.0,4.0,4.3,3.4
26855.4,3.83,3.8,3.8,8.2,2.8
119405.4,3.44,3.4,3.4,7.2,1.2
4.2,4.2,4.2,4.2,4.2,4.2
347.2,3.58,3.5,3.4,6.4,2.6
3.3,3.3,3.3,3.3,3.3,3.3
601.2,2.76,2.7,2.7,4.8,1.5
10.7,3.57,3.5,3.5,3.7,3.5
11.7,3.9,4.2,2.9,4.6,2.9
47.2,3.93,3.9,3.7,5.2,2.6
117.6,3.56,3.6,3.7,3.9,3.1
3.2,3.2,3.2,3.2,3.2,3.2
17981.0,3.57,3.5,3.4,7.4,2.0
7.8,3.9,3.9,3.8,4.0,3.8
4116.2,3.84,3.8,3.8,5.3,2.5
5349.3,3.79,3.7,3.6,6.9,2.7
7.5,3.75,3.75,3.6,3.9,3.6
3.8,3.8,3.8,3.8,3.8,3.8
3.7,3.7,3.7,3.7,3.7,3.7
67.3,3.74,3.8,3.8,4.2,3.4
16.4,4.1,4.15,3.6,4.5,3.6
3.7,3.7,3.7,3.7,3.7,3.7
34817.8,3.52,3.5,3.4,6.0,2.4
21.1,4.22,4.2,3.9,4.6,3.9
22.7,3.78,3.8,3.8,4.0,3.4
3375.4,3.26,3.4,3.4,5.1,1.5
11.5,3.83,3.9,3.9,3.9,3.7
43.1,3.92,4.0,4.0,4.1,3.7
55.0,3.24,3.3,3.1,3.8,1.9
7.800000000000001,3.9,3.9,3.6,4.2,3.6
48.4,3.72,3.8,3.3,4.1,3.3
47.3,3.15,3.2,3.4,4.0,2.0
17.1,2.14,2.15,1.9,2.5,1.8
4521.3,3.72,3.7,3.7,4.7,3.0
244.5,3.22,3.4,3.4,4.1,1.8
14.6,3.65,3.6,3.6,3.9,3.5
83.1,3.96,3.9,4.1,5.2,3.5
12.9,3.22,3.2,3.1,3.4,3.1
13.9,2.78,2.8,2.5,3.0,2.5
33.3,3.33,3.45,3.5,3.8,2.7
36.0,3.0,3.0,3.0,3.2,2.7
308.6,3.63,3.6,3.3,7.0,3.0
4.1,4.1,4.1,4.1,4.1,4.1
13.4,3.35,3.3,3.3,3.7,3.1
5.9,2.95,2.95,2.6,3.3,2.6
14.8,3.7,3.7,3.7,3.8,3.6
318.2,3.66,3.7,3.7,5.3,2.9
10.5,3.5,3.4,3.4,3.7,3.4
25.0,3.12,3.25,1.9,3.8,1.9
31.6,3.16,3.1,2.9,4.3,1.8
17.6,3.52,3.5,3.8,3.8,3.1
72.8,3.17,3.2,3.1,3.7,2.5
22.9,2.54,2.5,2.5,3.5,1.0
17.6,3.52,3.5,3.5,3.6,3.4
42.7,3.28,3.5,3.1,4.2,1.9
9.2,3.07,3.4,2.1,3.7,2.1
3.0,3.0,3.0,3.0,3.0,3.0
3.2,3.2,3.2,3.2,3.2,3.2
37.6,3.42,3.4,3.4,3.7,3.0
6.6,3.3,3.3,2.6,4.0,2.6
10547.6,3.79,3.8,3.7,7.6,2.7
65.3,3.44,3.4,3.4,4.0,2.6
36.7,3.34,3.5,3.5,3.5,2.9
6.6,3.3,3.3,3.0,3.6,3.0
6.6,2.2,2.2,2.0,2.4,2.0
32.3,3.59,3.5,3.4,4.0,3.3
3.3,3.3,3.3,3.3,3.3,3.3
14.0,3.5,3.5,3.5,3.6,3.4
154.6,3.68,3.7,3.5,5.0,3.2
7.4,3.7,3.7,3.7,3.7,3.7
78180.9,3.82,3.8,3.8,6.8,2.5
3.4,3.4,3.4,3.4,3.4,3.4
127.9,3.88,3.8,3.8,4.5,3.5
7.4,3.7,3.7,3.6,3.8,3.6
11.1,3.7,3.6,3.6,3.9,3.6
35.6,3.96,3.9,3.9,4.2,3.8
19133.4,3.51,3.5,3.5,5.6,1.8
250.5,3.74,3.7,3.6,4.5,3.4
123.6,3.64,3.65,3.6,4.0,3.2
985.6,4.32,4.2,3.9,6.4,3.1
37.1,1.77,1.7,1.7,3.8,0.3
7.699999999999999,3.85,3.85,3.8,3.9,3.8
29925.1,3.57,3.5,3.5,6.8,2.3
3.2,3.2,3.2,3.2,3.2,3.2
22.1,3.16,3.1,3.0,3.6,2.9
8.0,4.0,4.0,3.9,4.1,3.9
46.6,3.33,3.4,3.4,3.9,2.7
4.0,4.0,4.0,4.0,4.0,4.0
10.2,3.4,3.4,3.4,3.4,3.4
1844.2,3.46,3.5,3.6,6.5,2.1
7801.8,3.61,3.6,3.6,6.3,1.4
640.8,3.86,3.9,4.0,4.7,2.9
70.1,3.89,3.95,3.9,4.3,3.2
7564.9,3.78,3.8,3.9,6.0,3.0
240.1,3.43,3.4,3.4,4.1,2.8
6.8,1.7,1.8,1.8,1.8,1.4
4.4,4.4,4.4,4.4,4.4,4.4
21.0,3.5,3.55,3.7,3.7,3.1
6.8,3.4,3.4,3.3,3.5,3.3
256.1,3.82,3.8,3.7,4.6,2.9
6.2,3.1,3.1,3.0,3.2,3.0
3.4,3.4,3.4,3.4,3.4,3.4
3.4,3.4,3.4,3.4,3.4,3.4
52.1,4.01,4.0,3.8,4.6,3.3
93.4,3.74,3.7,3.7,4.4,3.5
3.6,3.6,3.6,3.6,3.6,3.6
3.6,3.6,3.6,3.6,3.6,3.6
7.8,3.9,3.9,3.8,4.0,3.8
18.6,3.72,3.7,4.0,4.0,3.4
4.1,4.1,4.1,4.1,4.1,4.1
3.7,3.7,3.7,3.7,3.7,3.7
46.0,3.83,3.75,3.4,4.7,3.4
534.7,3.66,3.6,3.6,4.7,3.2
17.5,2.92,2.9,2.1,4.0,2.1
14.0,2.8,2.8,2.3,3.6,2.3
660.0,3.71,3.65,3.5,5.1,2.6
13.9,3.48,3.5,3.5,3.6,3.3
41.0,3.73,3.6,3.6,4.3,3.6
6.9,3.45,3.45,3.0,3.9,3.0
3.4,3.4,3.4,3.4,3.4,3.4
28.3,3.54,3.5,3.4,3.9,3.3
109.3,4.05,4.1,3.8,5.8,3.4
49.1,3.78,3.8,3.9,4.1,3.3
10.8,3.6,3.6,3.4,3.8,3.4
115.2,3.6,3.55,3.4,4.5,3.1
107.1,3.97,3.9,3.7,4.9,3.6
8.0,4.0,4.0,3.9,4.1,3.9
55.5,3.47,3.6,3.6,3.8,2.0
5449.3,3.71,3.7,3.5,6.9,2.8
4.0,4.0,4.0,4.0,4.0,4.0
48.8,3.49,3.5,3.5,3.8,3.1
173.9,3.78,3.8,3.9,4.7,2.7
454.0,3.41,3.4,3.3,4.3,2.6
3.0,3.0,3.0,3.0,3.0,3.0
21.3,3.55,3.5,3.5,3.9,3.4
376.2,3.39,3.4,3.4,4.4,2.3
5299.6,3.54,3.5,3.4,5.6,2.7
10272.7,3.73,3.7,3.7,6.6,2.5
93.1,4.05,4.0,3.9,4.7,3.6
48.8,3.49,3.5,3.5,3.9,2.8
8212.6,3.72,3.7,3.7,4.9,2.9
58.3,3.64,3.7,3.4,4.1,3.0
1524.3,3.55,3.5,3.5,4.7,2.6
39.9,3.63,3.6,3.7,4.4,3.2
35.7,3.57,3.55,3.5,3.8,3.4
4.2,4.2,4.2,4.2,4.2,4.2
11.2,3.73,3.4,3.3,4.5,3.3
18.4,3.68,3.9,3.9,3.9,3.3
426.7,3.99,3.9,3.9,4.8,3.4
7.1,2.37,2.4,2.4,2.4,2.3
100.2,3.85,3.75,3.6,4.6,3.4
5.2,2.6,2.6,2.0,3.2,2.0
1345.7,3.61,3.6,3.6,4.8,2.9
10.2,3.4,3.4,3.4,3.4,3.4
3.8,3.8,3.8,3.8,3.8,3.8
6.9,3.45,3.45,3.2,3.7,3.2
6.699999999999999,3.35,3.35,3.3,3.4,3.3
31.7,3.52,3.6,3.6,4.0,2.8
1625.5,3.56,3.5,3.4,5.9,2.9
31.0,3.1,3.2,2.9,3.7,2.3
81.0,3.86,3.7,3.6,4.9,3.5
2.4,2.4,2.4,2.4,2.4,2.4
66.3,3.32,3.4,3.5,3.7,2.5
4.6,4.6,4.6,4.6,4.6,4.6
10.0,3.33,3.2,3.1,3.7,3.1
15.1,3.02,2.9,2.7,3.5,2.7
180.9,3.62,3.65,3.7,4.0,3.1
125.6,3.31,3.4,3.5,4.1,2.1
238.6,3.73,3.7,3.7,4.8,3.2
12.3,2.05,1.75,1.6,3.5,1.6
12.2,4.07,3.8,3.8,4.6,3.8
35.9,3.26,3.3,3.3,3.8,2.5
2.6,2.6,2.6,2.6,2.6,2.6
204.3,3.65,3.6,3.6,4.1,3.1
141.6,3.45,3.5,3.8,5.1,2.5
240.3,3.53,3.5,3.5,4.3,3.1
47.2,3.63,3.6,3.3,4.2,3.3
59.4,2.83,2.8,2.4,3.6,2.0
3483.0,3.74,3.7,3.7,5.4,3.1
2.3,2.3,2.3,2.3,2.3,2.3
22.6,3.77,3.75,3.7,4.0,3.5
17.7,2.95,3.1,2.1,3.7,2.1
10.4,2.6,2.8,1.3,3.5,1.3
19.5,2.17,1.9,1.3,3.5,1.3
15.2,3.8,3.8,3.5,4.1,3.5
1192.7,3.5,3.5,3.5,5.0,2.6
7.300000000000001,3.65,3.65,3.6,3.7,3.6
10.6,3.53,3.6,3.3,3.7,3.3
7.3,3.65,3.65,3.5,3.8,3.5
10.1,3.37,3.4,3.1,3.6,3.1
69.8,3.32,3.3,3.3,5.1,1.9
29109.3,3.85,3.8,3.8,6.6,2.9
10.3,3.43,3.3,3.2,3.8,3.2
6.9,3.45,3.45,3.1,3.8,3.1
43.9,3.66,3.6,3.5,4.3,3.2
6.199999999999999,3.1,3.1,2.9,3.3,2.9
18.4,3.07,3.25,1.9,3.8,1.9
17.900000000000002,4.48,4.3,3.9,5.4,3.9
51.2,3.66,3.65,3.3,4.2,3.1
67.3,4.21,4.0,3.8,5.5,3.7
395.0,3.69,3.7,3.7,4.4,2.8
52.5,3.75,3.75,3.8,4.7,3.2
3.5,3.5,3.5,3.5,3.5,3.5
